,epoch,Training Loss,Valid. Loss,Pearson,Pearson Some,Kappa,Kappa Some,Learning Rate,Weight Decay,Dropout,Epsilon,Training Time,Validation Time
0,1,1.3827496941496686,1.4297038316726685,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
1,2,1.360387467756504,1.454236626625061,0.21130428549833327,0.2641268901248068,0.17598649504114794,0.21645368555115108,2e-05,0.8,0.1,1e-06,0:00:17,0:00:18
2,3,1.292601300448906,1.4178926944732666,0.44396372372921555,0.42110591956440496,0.3547207193477102,0.26338010197005257,2e-05,0.8,0.1,1e-06,0:00:17,0:00:18
3,4,1.2021429378811905,1.345542550086975,0.4567966945043962,0.438705931664397,0.4162419831553641,0.33239518505305166,2e-05,0.8,0.1,1e-06,0:00:17,0:00:18
4,5,1.107082188129425,1.4637694358825684,0.4354408191844534,0.4274981729109569,0.3915406990606075,0.3645566109685917,2e-05,0.8,0.1,1e-06,0:00:17,0:00:18
5,6,0.9569133272985133,1.3502376079559326,0.552370635493348,0.5180867423213026,0.5210004719207173,0.45207590714731705,2e-05,0.8,0.1,1e-06,0:00:17,0:00:18
6,7,0.8205270694523323,1.2634422779083252,0.6302359037401601,0.5598242091908722,0.6068381720785663,0.5201038899242635,2e-05,0.8,0.1,1e-06,0:00:17,0:00:18
7,1,1.3372036480322116,1.4404373168945312,0.40316404361268626,0.3471128968414567,0.317134584823923,0.26641550053821317,2e-05,0.8,0.1,1e-07,0:00:17,0:00:17
8,2,1.1217851885935155,1.1681541204452515,0.6118376046752101,0.5018872399016459,0.5675068583948595,0.4486473545606895,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
9,3,0.9195452637788726,1.1897552013397217,0.6308592398061484,0.5109789694078446,0.5958593174678635,0.4657295929462467,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
10,4,0.7492897975735548,1.3607574701309204,0.6497593570568202,0.542849394214412,0.6050471706621932,0.4867252341891958,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
11,5,0.6091945498454862,1.3618943691253662,0.6157791895653476,0.5167318021507633,0.5884522157078041,0.48935950056910293,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
12,6,0.5027520881920327,1.4535800218582153,0.6767649868900486,0.5749901025624435,0.6403301886792454,0.5336684746659612,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
13,7,0.41877347703387097,1.4819669723510742,0.6636519576337953,0.5736596786967658,0.6459747817652763,0.5552482166254185,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
14,1,1.3814644406481487,1.4013793468475342,0.0681940106740384,0.02474301547022599,0.014285058104818282,0.0036382387486750822,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
15,2,1.2926545666485298,1.3259705305099487,0.39344870231337836,0.41571747128428116,0.3550124081097533,0.30633946325136774,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
16,3,1.0616655349731445,1.4249056577682495,0.49656954976241224,0.4039677426612379,0.42159445944512886,0.3331050004892847,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
17,4,0.8035822699709636,1.3420709371566772,0.5845585343841652,0.4664514349276694,0.5420323919350692,0.41946754588848967,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
18,5,0.6000187731370693,1.4458965063095093,0.625906192842579,0.5097041891063802,0.5957450789611556,0.4694940252234897,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
19,6,0.4610023462190861,1.4811683893203735,0.5922622396739572,0.4855808085139768,0.5638892091005313,0.46008513615954283,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
20,7,0.3453377786932922,1.4438449144363403,0.6139692933324491,0.525297085964859,0.6034429931571362,0.5125671059053196,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
