,epoch,Training Loss,Valid. Loss,Pearson,Pearson Some,Kappa,Kappa Some,Learning Rate,Weight Decay,Dropout,Epsilon,Training Time,Validation Time
0,1,1.0352766858903986,1.0337066650390625,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-06,0:00:23,0:00:24
1,2,1.0167029186298973,1.0249488353729248,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-06,0:00:23,0:00:24
2,3,0.9704303647342482,1.0263934135437012,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-06,0:00:23,0:00:24
3,4,0.7962486200165331,0.9125162959098816,0.3822528982787053,0.2150282010022426,0.36350361939873455,0.16123328544590554,2e-05,0.8,0.1,1e-06,0:00:23,0:00:24
4,5,0.6608578615021288,0.961018443107605,0.41412659244320055,0.31175997327983646,0.36720529226765,0.15761617444691423,2e-05,0.8,0.1,1e-06,0:00:23,0:00:24
5,6,0.541085349886041,1.0054426193237305,0.5287601665210665,0.3893991592162538,0.5072418738049713,0.24859181374389783,2e-05,0.8,0.1,1e-06,0:00:23,0:00:24
6,7,0.42508289688511897,0.9624047875404358,0.5638950003705512,0.36970254443435385,0.5544314204411664,0.2657757980697847,2e-05,0.8,0.1,1e-06,0:00:23,0:00:25
7,1,1.0303629950473183,1.0314871072769165,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-07,0:00:23,0:00:24
8,2,1.0233367566476788,1.026545763015747,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-07,0:00:23,0:00:24
9,3,1.000756743707155,0.9853854775428772,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-07,0:00:23,0:00:24
10,4,0.8271645354597192,0.8874546885490417,0.4975242978344804,0.3124958508420102,0.4824152900716018,0.2496495475978081,2e-05,0.8,0.1,1e-07,0:00:23,0:00:24
11,5,0.6269268440572839,0.8648067116737366,0.6069449646775393,0.4456550143140925,0.604863115420181,0.38438957002244867,2e-05,0.8,0.1,1e-07,0:00:23,0:00:24
12,6,0.510870013843503,0.948943018913269,0.5671046343443337,0.40123283542103877,0.5098479026290861,0.22976744186046505,2e-05,0.8,0.1,1e-07,0:00:23,0:00:24
13,7,0.4129626207184373,1.1762042045593262,0.4749377367378608,0.3559260283483422,0.3903747886708585,0.16307654861871723,2e-05,0.8,0.1,1e-07,0:00:23,0:00:24
14,1,1.056092762110526,1.024950623512268,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-08,0:00:23,0:00:24
15,2,1.0118186316992108,1.0310635566711426,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-08,0:00:23,0:00:24
16,3,0.966572760489949,0.9461354613304138,0.46603620956497294,0.2448385307214767,0.4659361359149444,0.1914507344446278,2e-05,0.8,0.1,1e-08,0:00:23,0:00:24
17,4,0.7514121333758036,0.8679843544960022,0.5550276546634997,0.4477633747043371,0.5502194938918537,0.36938309215536935,2e-05,0.8,0.1,1e-08,0:00:23,0:00:24
18,5,0.6034401090521562,1.0633316040039062,0.4210685991263068,0.3225195034997107,0.3546253323508246,0.15157135497166407,2e-05,0.8,0.1,1e-08,0:00:23,0:00:24
19,6,0.45628339784187183,0.8834714889526367,0.6257934927915407,0.44605103718255756,0.6205026740063079,0.3458819661351308,2e-05,0.8,0.1,1e-08,0:00:23,0:00:24
20,7,0.34006290242337345,0.9962661862373352,0.5810908811190936,0.37469600884531507,0.5786358095009694,0.2980178915979653,2e-05,0.8,0.1,1e-08,0:00:23,0:00:24
21,1,1.0248466259554814,1.0284775495529175,0.0,0.0,0.0,0.0,2e-05,0.9,0.1,1e-06,0:00:23,0:00:24
22,2,1.016798472195341,1.0306661128997803,0.0,0.0,0.0,0.0,2e-05,0.9,0.1,1e-06,0:00:23,0:00:24
23,3,0.9991885841938487,1.0194182395935059,0.0,0.0,0.0,0.0,2e-05,0.9,0.1,1e-06,0:00:23,0:00:24
24,4,0.8935440883301852,0.9065895080566406,0.3392296010349333,0.2581199537333273,0.27702543857703643,0.10917962793534619,2e-05,0.9,0.1,1e-06,0:00:23,0:00:24
25,5,0.7378575367885724,0.9205667972564697,0.5335580841028785,0.4146226826266421,0.5171306392743465,0.33350429542249005,2e-05,0.9,0.1,1e-06,0:00:23,0:00:24
26,6,0.579667493962405,0.9045946598052979,0.5768827712504995,0.4337325250759189,0.5738203252785236,0.3246165084002922,2e-05,0.9,0.1,1e-06,0:00:23,0:00:24
27,7,0.4927059877337071,1.0212914943695068,0.5481406173878465,0.36466794695454224,0.5446471086185916,0.2968279029711497,2e-05,0.9,0.1,1e-06,0:00:23,0:00:24
28,1,1.0195748356350682,1.0256491899490356,0.0,0.0,0.0,0.0,2e-05,0.9,0.1,1e-07,0:00:23,0:00:24
29,2,0.9649142141927752,0.9657048583030701,0.30468781496189834,0.15631971798426544,0.18472991782078418,0.039363771598581065,2e-05,0.9,0.1,1e-07,0:00:23,0:00:24
30,3,0.7724465466382211,0.9196096658706665,0.45958956554953234,0.29082779862013697,0.43959600641137053,0.17866455050447805,2e-05,0.9,0.1,1e-07,0:00:23,0:00:24
31,4,0.64356823971397,0.8441751003265381,0.5651862302001929,0.3458443689877444,0.5595390439181267,0.2598365807668134,2e-05,0.9,0.1,1e-07,0:00:23,0:00:24
32,5,0.5469708764239362,1.0055311918258667,0.5122638397422226,0.3743783815665395,0.497854273365954,0.24463622198250035,2e-05,0.9,0.1,1e-07,0:00:23,0:00:24
33,6,0.41613316928085525,1.0512667894363403,0.6126511349827248,0.41443475389279444,0.6074812503578175,0.36674464639193805,2e-05,0.9,0.1,1e-07,0:00:23,0:00:24
