,epoch,Training Loss,Valid. Loss,Pearson,Pearson Some,Kappa,Kappa Some,Learning Rate,Weight Decay,Dropout,Epsilon,Training Time,Validation Time
0,1,1.389808765271815,1.3443794250488281,0.3954760437217536,0.3331921761508567,0.3748852258318395,0.27218830192018406,2e-05,0.8,0.1,1e-06,0:00:17,0:00:18
1,2,1.1775990753639034,1.2595466375350952,0.5342352083024956,0.4692793197486138,0.4953109479002902,0.3992780581236878,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
2,3,0.963474493201186,1.273171067237854,0.5762962732560174,0.4616971591298065,0.5165090065601101,0.4023292123687854,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
3,4,0.7990361292187761,1.1867231130599976,0.6261230856356397,0.5650264607731618,0.6086697563608614,0.5098974902792506,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
4,5,0.6849706652687817,1.30875563621521,0.6452105412294972,0.5781028722558964,0.6077361787428044,0.4789516338669969,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
5,6,0.5922108670560325,1.2271957397460938,0.6905360658246005,0.6073030993927674,0.6787296898079764,0.5554782370064,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
6,7,0.5127260263373212,1.4626801013946533,0.6123072520726883,0.510059132530911,0.5711459518274891,0.46765541854550896,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
7,1,1.3834428380175334,1.407202124595642,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
8,2,1.3389598509160483,1.3765355348587036,0.4474755421857326,0.40949089061417815,0.40675332746387693,0.314519796966628,2e-05,0.8,0.1,1e-07,0:00:17,0:00:18
9,3,1.1010184258949467,1.2393147945404053,0.5980470142810955,0.47182339076475566,0.5333021226079905,0.40075157696953423,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
10,4,0.8971265757956156,1.2154698371887207,0.6015987449846083,0.5235839618559827,0.5720994399422583,0.476927968875671,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
11,5,0.7412492145852345,1.185773491859436,0.6275104333132538,0.5265088582027829,0.6088013519256046,0.4949804304267932,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
12,6,0.5837141369901052,1.5351619720458984,0.6490730926163711,0.6105881247223575,0.5989439275836057,0.48796672278894715,2e-05,0.8,0.1,1e-07,0:00:17,0:00:17
13,7,0.49264943127225086,1.4231380224227905,0.6853791210353319,0.5781768398299946,0.6722827203616191,0.540475287826486,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
14,1,1.386075438522711,1.4164706468582153,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
15,2,1.3691506269501477,1.4078338146209717,0.29329132212675296,0.2972459746903968,0.1630370895061264,0.11908310760957297,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
16,3,1.169404165046971,1.2762988805770874,0.5522193636775033,0.4688989939955568,0.5164363982848976,0.40015093334517127,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
17,4,0.9207220004826058,1.2388958930969238,0.6756390510275339,0.524486786755344,0.6383789400762037,0.46863111047304573,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
18,5,0.6882029670040782,1.4898792505264282,0.6313475545989962,0.5770027159126787,0.5656274270498169,0.43920342743904994,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
19,6,0.561848505241115,1.2883472442626953,0.6499030514670113,0.5463231711813954,0.6357353569678839,0.5190028870599388,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
20,7,0.40238856542401197,1.4953032732009888,0.6665001563878082,0.5268886929731347,0.6491980035813617,0.48928477453684305,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
21,1,1.3882837266456791,1.496016025543213,0.0,0.0,0.0,0.0,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
22,2,1.36195636377102,1.4715511798858643,0.1797255448575073,0.17728219300772663,0.14000972289742342,0.10215512444823627,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
23,3,1.311024662924976,1.3870803117752075,0.1898596247653141,0.2498256412952449,0.16999095398395447,0.1769062930638493,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
24,4,1.2481385556662954,1.4039000272750854,0.29656622130989874,0.31167223762262203,0.23566247869684132,0.2545503893063732,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
25,5,1.1558682089898644,1.5251579284667969,0.32927137641943827,0.355967128474187,0.277327159148143,0.2939329362419897,2e-05,0.85,0.1,1e-06,0:00:17,0:00:18
26,6,1.0177561248221048,1.3361766338348389,0.4947629325932457,0.5342857387272454,0.4833524684270952,0.4851436745188217,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
27,7,0.9393941367544779,1.5068557262420654,0.4672690263313707,0.5116902068762323,0.4265107143174567,0.45586467760180993,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
28,1,1.3815670914766265,1.472341775894165,0.0,0.0,0.0,0.0,2e-05,0.85,0.1,1e-07,0:00:16,0:00:17
29,2,1.279145854275401,1.3345569372177124,0.3879663192828571,0.35622619007405504,0.3545693327545487,0.2919119925627519,2e-05,0.85,0.1,1e-07,0:00:16,0:00:17
30,3,1.0608377703806249,1.3401869535446167,0.4874526053822726,0.41116463506406953,0.4341038727108977,0.3539602676487369,2e-05,0.85,0.1,1e-07,0:00:16,0:00:17
31,4,0.8841619346199966,1.232317328453064,0.5697193218562232,0.5081691713187759,0.5576963916829161,0.4615426916449755,2e-05,0.85,0.1,1e-07,0:00:16,0:00:17
32,5,0.7385043501853943,1.2954100370407104,0.6582555400878528,0.563051125566036,0.6252469124406949,0.5155685566200723,2e-05,0.85,0.1,1e-07,0:00:17,0:00:18
33,6,0.5816649939955735,1.4000416994094849,0.6668455775138757,0.5835092279421978,0.6454703278524618,0.5258023196645084,2e-05,0.85,0.1,1e-07,0:00:16,0:00:17
34,7,0.45671829872015046,1.5840595960617065,0.6180653276009325,0.5484709219204017,0.5953440266768903,0.4918021487589065,2e-05,0.85,0.1,1e-07,0:00:16,0:00:17
35,1,1.3837305569067233,1.3954797983169556,0.0,0.0,0.0,0.0,2e-05,0.85,0.1,1e-08,0:00:16,0:00:17
36,2,1.3274940746586497,1.3506146669387817,0.5614204619237503,0.48558183555664464,0.5058307525893876,0.37177936373533316,2e-05,0.85,0.1,1e-08,0:00:16,0:00:17
37,3,1.1752064547887662,1.2718201875686646,0.5909873021572579,0.5186113504132309,0.5584992825394604,0.4320945302077377,2e-05,0.85,0.1,1e-08,0:00:17,0:00:18
