Unnamed: 0,epoch,Training Loss on 1 ordinal,"Valid. Loss on 1 ordinal, real","Valid. Loss on 1 ordinal, weighted",Pearson on 1 ordinal,Kappa on 1 ordinal,Learning Rate,Training Time,Validation Time
0,1,0.6967902290515411,0.6889114379882812,0.6949231028556824,0.0,0.0,2e-05,0:00:17,0:00:19
1,2,0.6933008539371002,0.6632551550865173,0.6799607276916504,0.19716336360073647,0.13791822623503525,2e-05,0:00:17,0:00:18
2,3,0.5932550598413516,0.5052863359451294,0.5283370018005371,0.5074098394498134,0.5058630854896824,2e-05,0:00:17,0:00:18
3,4,0.3804624118866065,0.5086610913276672,0.5307441353797913,0.5074098394498134,0.5058630854896824,2e-05,0:00:17,0:00:19
4,5,0.2646276213419743,0.6100497841835022,0.7067056894302368,0.4946175682378603,0.4575761716081432,2e-05,0:00:17,0:00:18
5,6,0.15575986747176218,0.7285615801811218,0.7935648560523987,0.4853663961998699,0.4811827602138473,2e-05,0:00:17,0:00:19
6,7,0.10676659923046827,0.9550769925117492,0.9032192230224608,0.4477869403004011,0.4396188843798049,2e-05,0:00:17,0:00:18
7,8,0.09000231037871577,1.0176446437835691,1.0932198762893677,0.5343297286836792,0.5336118000261063,2e-05,0:00:17,0:00:18
8,9,0.06329293649357097,0.9979369640350342,1.1112539768218994,0.4959250287289282,0.4901293577131357,2e-05,0:00:17,0:00:18
9,10,0.05622660028390013,1.2863869667053225,1.5279560089111328,0.4787920567479613,0.44930098460534185,2e-05,0:00:17,0:00:18
0,1,0.7043376213464981,0.6940408945083618,0.6892454624176025,0.07897793448158935,0.0783517121300058,2.9999999999999997e-05,0:00:17,0:00:19
1,2,0.6731815888331487,0.5834302306175232,0.6109521389007568,0.3813097791756672,0.3570193943518203,2.9999999999999997e-05,0:00:17,0:00:18
2,3,0.4690085760293863,0.5019832849502563,0.5185085535049438,0.519479218494369,0.5191388494549434,2.9999999999999997e-05,0:00:17,0:00:19
3,4,0.2758428299656281,0.5820554494857788,0.6466659903526306,0.4746508122498764,0.4691037642167701,2.9999999999999997e-05,0:00:17,0:00:19
4,5,0.1374637547116249,0.7793008685112,0.8174987435340881,0.5061933143301373,0.5061933143301374,2.9999999999999997e-05,0:00:17,0:00:19
5,6,0.06271881925371978,1.2512884140014648,1.5089542865753174,0.37583040254399,0.33903435749962163,2.9999999999999997e-05,0:00:17,0:00:19
6,7,0.04063398927115859,1.3622324466705322,1.593005895614624,0.4961851581079132,0.4749669374645759,2.9999999999999997e-05,0:00:17,0:00:18
7,8,0.038216753522507266,1.297734260559082,1.4309364557266235,0.5118142440966837,0.5077560280694349,2.9999999999999997e-05,0:00:17,0:00:18
8,9,0.023012148652177968,1.4724571704864502,1.694829344749451,0.4671421865399853,0.4494500020195764,2.9999999999999997e-05,0:00:17,0:00:18
9,10,0.00893113593188807,1.7475956678390503,2.07094144821167,0.4242575176231941,0.3924853122011204,2.9999999999999997e-05,0:00:17,0:00:18
0,1,0.7167952763728607,0.7119878530502319,0.690319836139679,0.0,0.0,5e-05,0:00:17,0:00:19
1,2,0.6988796469492788,0.6838450431823729,0.7051780223846436,0.0,0.0,5e-05,0:00:18,0:00:20
2,3,0.7037070103180714,0.6879347562789917,0.6973644495010376,0.0,0.0,5e-05,0:00:17,0:00:19
3,4,0.6993978145794991,0.6887388229370117,0.6964969038963318,0.0,0.0,5e-05,0:00:17,0:00:18
4,5,0.6999161732502472,0.76873779296875,0.7085131406784058,0.0,0.0,5e-05,0:00:17,0:00:19
5,6,0.7063315388483878,0.6921135187149048,0.6936976909637451,0.0,0.0,5e-05,0:00:18,0:00:20
6,7,0.6986433191177173,0.7017415761947632,0.6904840469360352,0.0,0.0,5e-05,0:00:17,0:00:19
7,8,0.6943479333168421,0.6879285573959351,0.6973434090614319,0.0,0.0,5e-05,0:00:17,0:00:19
8,9,0.7012724616588691,0.6838281154632568,0.7055337429046631,0.0,0.0,5e-05,0:00:18,0:00:20
9,10,0.698966425198775,0.692021369934082,0.6936225891113281,0.0,0.0,5e-05,0:00:17,0:00:18
