Unnamed: 0,epoch,Training Loss on 1 ordinal,"Valid. Loss on 1 ordinal, real","Valid. Loss on 1 ordinal, weighted",Pearson on 1 ordinal,Kappa on 1 ordinal,Learning Rate,Training Time,Validation Time
0,1,0.6964185586789762,0.5811205506324768,0.6244792938232422,0.03719696299954245,0.02973977695167285,2e-05,0:00:17,0:00:18
1,2,0.5541411405656396,0.4559237360954285,0.4870410561561585,0.4588933984422086,0.4547711954593828,2e-05,0:00:17,0:00:18
2,3,0.4110384623451931,0.4170514941215515,0.4953688681125641,0.4234517718770232,0.4230003979307601,2e-05,0:00:17,0:00:18
3,4,0.2803614602946653,0.4247346520423889,0.493797093629837,0.4876551352752634,0.4819614711033275,2e-05,0:00:17,0:00:18
4,5,0.21410867535486452,0.4734728634357453,0.5668728947639465,0.4277118077099299,0.4261634298277757,2e-05,0:00:17,0:00:18
5,6,0.14948249458358054,0.47845658659935,0.6727839112281799,0.3765034625016779,0.36874183717892905,2e-05,0:00:17,0:00:18
6,7,0.11251190559166234,0.5441573858261108,0.6961498856544495,0.5243331093324463,0.5234468937875751,2e-05,0:00:17,0:00:18
7,8,0.10171091674668033,0.6541967391967773,0.7425679564476013,0.4796545662344457,0.47534586732884004,2e-05,0:00:17,0:00:18
8,9,0.09997021099098208,0.6909675002098083,0.8116893172264099,0.4771788327651189,0.4758391737366285,2e-05,0:00:17,0:00:18
9,10,0.08394655295670396,0.7189818620681763,0.8744686841964722,0.4617894719902196,0.4615384615384616,2e-05,0:00:17,0:00:18
0,1,0.6970344360281782,0.615928053855896,0.6336945295333862,0.21440755279010248,0.213631366801026,2.9999999999999997e-05,0:00:17,0:00:18
1,2,0.5650147686644298,0.4024915099143982,0.4594646990299225,0.5130335096778609,0.5111762550384755,2.9999999999999997e-05,0:00:17,0:00:18
2,3,0.3848227022624597,0.3699464499950409,0.41479337215423584,0.5765633979785756,0.5727632051742724,2.9999999999999997e-05,0:00:17,0:00:18
3,4,0.22501344633538548,0.41383904218673706,0.4756414890289306,0.5765633979785756,0.5727632051742724,2.9999999999999997e-05,0:00:17,0:00:18
4,5,0.12152415448118276,0.5199361443519592,0.5344498753547668,0.5595292516807965,0.545515171723908,2.9999999999999997e-05,0:00:17,0:00:18
5,6,0.1170115504504704,0.5672677755355835,0.6729854941368103,0.4390715667311411,0.4390715667311412,2.9999999999999997e-05,0:00:17,0:00:18
6,7,0.0791328209565907,0.6236249208450317,0.7879098057746887,0.5354229852389361,0.5352918733307898,2.9999999999999997e-05,0:00:17,0:00:18
7,8,0.06481171269310503,0.722743570804596,0.7905749082565308,0.5018898314724815,0.4953010790114862,2.9999999999999997e-05,0:00:17,0:00:18
8,9,0.0575343095072795,0.734354555606842,0.8670369386672974,0.5200879371067887,0.518627812615271,2.9999999999999997e-05,0:00:17,0:00:18
9,10,0.039370812788015096,0.8398940563201904,0.942760407924652,0.5419380696111574,0.5370698829372118,2.9999999999999997e-05,0:00:17,0:00:18
0,1,0.7118431620481538,0.7637273669242859,0.7373491525650024,0.0,0.0,5e-05,0:00:17,0:00:18
1,2,0.7092581071504732,0.7040398120880127,0.6996603012084961,0.0,0.0,5e-05,0:00:17,0:00:18
2,3,0.7052718997001648,0.6621106266975403,0.6748407483100891,0.0,0.0,5e-05,0:00:17,0:00:18
3,4,0.7035334560929275,0.6518908143043518,0.6707865595817566,0.0,0.0,5e-05,0:00:17,0:00:18
4,5,0.6984399658877675,0.6948464512825012,0.6939499378204346,0.049461478326456886,0.004880934772962475,5e-05,0:00:17,0:00:18
5,6,0.7074035420650389,0.8024874925613403,0.763377845287323,0.0,0.0,5e-05,0:00:17,0:00:18
6,7,0.6945338699875808,0.6426061987876892,0.664300799369812,0.0,0.0,5e-05,0:00:17,0:00:18
7,8,0.6967768785430164,0.6886284947395325,0.6893240213394165,0.21549872595199304,0.21266968325791855,5e-05,0:00:17,0:00:18
8,9,0.6554472235644736,0.4889595806598663,0.581244707107544,0.05518623580059473,0.042230644288034684,5e-05,0:00:17,0:00:18
9,10,0.5506068889687701,0.491407185792923,0.6111301779747009,0.18685673434682065,0.17062530295685896,5e-05,0:00:17,0:00:18
