Unnamed: 0,epoch,Training Loss on 1 ordinal,"Valid. Loss on 1 ordinal, real","Valid. Loss on 1 ordinal, weighted",Pearson on 1 ordinal,Kappa on 1 ordinal,Learning Rate,Training Time,Validation Time
0,1,0.6655123578874689,0.618333101272583,0.7299505472183228,0.2119205312796828,0.17074408689473153,2e-05,0:00:25,0:00:26
1,2,0.5755840487647474,0.5203131437301636,0.5388859510421753,0.5016333524439184,0.5011399259048162,2e-05,0:00:24,0:00:25
2,3,0.4149152568557806,0.4904353320598602,0.5595535635948181,0.4978735639334262,0.4941482444733419,2e-05,0:00:24,0:00:25
3,4,0.285594598373823,0.5560104846954346,0.552068293094635,0.5443720304798672,0.5381833241303147,2e-05,0:00:24,0:00:25
4,5,0.1902055736435087,0.6333947777748108,0.663317084312439,0.5029214594071705,0.501218807682011,2e-05,0:00:24,0:00:26
5,6,0.14134359088513934,0.6227037310600281,0.6695985794067383,0.5191881633390352,0.5185438094831634,2e-05,0:00:24,0:00:25
6,7,0.09478787783729403,0.8268679976463318,0.9176027178764344,0.5191881633390351,0.5185438094831634,2e-05,0:00:24,0:00:25
7,8,0.07876620780709281,1.02147114276886,1.0055900812149048,0.5424881311730558,0.5349894887261435,2e-05,0:00:24,0:00:25
8,9,0.0661781121110707,0.9311273097991944,1.263786554336548,0.5046488333080953,0.4793979185363626,2e-05,0:00:24,0:00:25
9,10,0.06941690310231295,0.9143533110618592,1.11054265499115,0.522205346602265,0.5190305233207705,2e-05,0:00:24,0:00:25
0,1,0.7008236427056161,0.6612662076950073,0.7111212015151978,0.0,0.0,2.9999999999999997e-05,0:00:24,0:00:25
1,2,0.6598999045397106,0.5900161862373352,0.5634251832962036,0.4014741624008674,0.3928721686141987,2.9999999999999997e-05,0:00:24,0:00:25
2,3,0.4387930741435603,0.4949242472648621,0.5669653415679932,0.49078529214162103,0.4894184966153937,2.9999999999999997e-05,0:00:24,0:00:25
3,4,0.29564868122862104,0.6791076064109802,0.6978787779808044,0.4523395598381131,0.44991109306525895,2.9999999999999997e-05,0:00:24,0:00:25
4,5,0.19499840522021575,0.7014251947402954,0.8541877269744873,0.4548733618358974,0.453174708867877,2.9999999999999997e-05,0:00:24,0:00:25
5,6,0.13315567917500934,0.7468028664588928,0.9392389059066772,0.4669678715100884,0.4623520221140557,2.9999999999999997e-05,0:00:24,0:00:25
6,7,0.12232083131216075,0.9480540752410888,0.9269297122955322,0.47842440657469,0.4696226003490401,2.9999999999999997e-05,0:00:24,0:00:25
7,8,0.08836118055082727,1.1038999557495115,1.2760223150253296,0.4769388509589406,0.4769313072018275,2.9999999999999997e-05,0:00:24,0:00:25
8,9,0.09202722791713057,0.9703731536865234,1.3499770164489746,0.4920895639668818,0.46524562706401,2.9999999999999997e-05,0:00:24,0:00:25
9,10,0.06010753220854032,1.0350146293640137,1.1715270280838013,0.5062337048471904,0.5058333941739066,2.9999999999999997e-05,0:00:24,0:00:25
0,1,0.7028235113411619,0.6564236283302307,0.7188135981559753,0.0,0.0,5e-05,0:00:24,0:00:25
1,2,0.6998818161194784,0.6938508749008179,0.6929834485054016,0.0,0.0,5e-05,0:00:24,0:00:25
2,3,0.7057186940260101,0.7335780262947083,0.6943638324737549,0.0,0.0,5e-05,0:00:25,0:00:27
3,4,0.7022669043457299,0.751731276512146,0.6981440782546997,0.0,0.0,5e-05,0:00:24,0:00:26
4,5,0.7073056269110295,0.7006865739822388,0.6923154592514038,0.0,0.0,5e-05,0:00:24,0:00:25
5,6,0.7014903739879006,0.668343722820282,0.7034466862678528,0.0,0.0,5e-05,0:00:24,0:00:25
6,7,0.7004988371280202,0.7347888946533203,0.6945578455924988,0.0,0.0,5e-05,0:00:24,0:00:25
7,8,0.7090123149386623,0.7177777290344238,0.692393958568573,0.0,0.0,5e-05,0:00:24,0:00:25
8,9,0.7033118689269351,0.6845470070838928,0.6950937509536743,0.0,0.0,5e-05,0:00:24,0:00:25
9,10,0.6994130036287141,0.6915044188499451,0.693396806716919,0.0,0.0,5e-05,0:00:24,0:00:25
