Unnamed: 0,epoch,Training Loss on 1 ordinal,"Valid. Loss on 1 ordinal, real","Valid. Loss on 1 ordinal, weighted",Pearson on 1 ordinal,Kappa on 1 ordinal,Learning Rate,Training Time,Validation Time
0,1,0.6954397747391149,0.625938355922699,0.6803531646728516,0.02359080554524925,0.022876110164169683,2e-05,0:00:24,0:00:25
1,2,0.6203933525503728,0.5947140455245972,0.6236960887908936,0.1819194227426642,0.13764038100806353,2e-05,0:00:24,0:00:26
2,3,0.4305476284863656,0.3429768681526184,0.5623196959495544,0.2932940331958208,0.2552970570102858,2e-05,0:00:24,0:00:25
3,4,0.2868002656062967,0.2305801510810852,0.7497743964195251,0.33398934293037497,0.33227568270481145,2e-05,0:00:24,0:00:26
4,5,0.26060556014182795,0.2833985984325409,0.6854106187820435,0.2867994192148288,0.28002961317786423,2e-05,0:00:25,0:00:27
5,6,0.16203843414979546,0.23986226320266724,1.2915509939193726,0.4093433665485913,0.3934798015591779,2e-05,0:00:24,0:00:25
6,7,0.12251905442150145,0.3432121276855469,1.273053765296936,0.3509697442019429,0.3467996839193994,2e-05,0:00:24,0:00:25
7,8,0.08726764014685168,0.3213590383529663,1.464582443237305,0.3997617922252738,0.39933483786673,2e-05,0:00:25,0:00:26
8,9,0.032068555388321866,0.6160135269165039,1.535634160041809,0.29472828400220225,0.2826264099155124,2e-05,0:00:24,0:00:25
9,10,0.017426097099750973,0.4238938689231873,2.1838903427124023,0.2815876896936971,0.2731990865684035,2e-05,0:00:24,0:00:25
0,1,0.6968663753124705,0.4771566390991211,0.6378761529922485,0.09952975372026256,0.061202818804903865,2.9999999999999997e-05,0:00:24,0:00:25
1,2,0.4833525766928991,0.28095585107803345,0.6416543126106262,0.3132274412686778,0.2967953985209532,2.9999999999999997e-05,0:00:24,0:00:25
2,3,0.3796596506839259,0.1992410570383072,0.8366528153419495,0.33707786765258685,0.3270361912670403,2.9999999999999997e-05,0:00:24,0:00:25
3,4,0.26037679638778954,0.2518762350082397,1.160456299781799,0.30900357183627114,0.2937032464231243,2.9999999999999997e-05,0:00:25,0:00:26
4,5,0.17158081750957327,0.3614610135555267,1.0671615600585938,0.35096974420194305,0.3467996839193994,2.9999999999999997e-05,0:00:24,0:00:25
5,6,0.10518991653889156,0.3609766364097595,1.3541558980941772,0.3190687750106833,0.3160697242176119,2.9999999999999997e-05,0:00:24,0:00:25
6,7,0.09354742707504908,0.2955634593963623,1.205681085586548,0.38331999394003824,0.38201652192332136,2.9999999999999997e-05,0:00:24,0:00:25
7,8,0.09114961058979756,0.42108538746833796,1.260973334312439,0.3704854884177364,0.3566330083565459,2.9999999999999997e-05,0:00:24,0:00:25
8,9,0.05614752742347487,0.42792779207229614,1.4451147317886353,0.24626419351043785,0.24450577532454265,2.9999999999999997e-05,0:00:24,0:00:26
9,10,0.03971195830698043,0.3576749861240387,1.8673737049102783,0.35198221035716404,0.3383416017009213,2.9999999999999997e-05,0:00:24,0:00:25
0,1,0.6999417977374897,0.459361582994461,0.6793514490127563,0.0,0.0,5e-05,0:00:24,0:00:26
1,2,0.7139875946337717,0.43684837222099293,0.6854841709136963,0.0,0.0,5e-05,0:00:24,0:00:25
2,3,0.6589108203586779,0.6914296150207521,0.7026615142822266,0.07643843391465445,0.04400970088924816,5e-05,0:00:24,0:00:25
3,4,0.5293174286683401,0.4715542793273926,0.7104442119598389,0.12075362167009805,0.11579534245400358,5e-05,0:00:24,0:00:25
4,5,0.5051247163822776,0.3407165110111237,0.7599436640739441,0.2119587971571288,0.2108712613784135,5e-05,0:00:24,0:00:25
5,6,0.4582305290458495,0.4568741023540497,0.9013931155204772,0.13441466447977654,0.12577376493317038,5e-05,0:00:24,0:00:25
6,7,0.4573779963610465,0.2879104018211365,0.7314295768737793,0.24955629713582134,0.2371995061369743,5e-05,0:00:24,0:00:25
7,8,0.4295699983312373,0.539408802986145,0.8226097226142883,0.21075768126939656,0.17670730616746644,5e-05,0:00:24,0:00:25
8,9,0.4303210887142964,0.3057140111923218,0.7552834153175354,0.20641095047655408,0.1704341892007165,5e-05,0:00:24,0:00:26
9,10,0.3776989321698222,0.32611197233200073,0.7378648519515991,0.24955629713582134,0.2371995061369743,5e-05,0:00:24,0:00:25
