Unnamed: 0,epoch,Training Loss on 1 ordinal,"Valid. Loss on 1 ordinal, real","Valid. Loss on 1 ordinal, weighted",Pearson on 1 ordinal,Kappa on 1 ordinal,Learning Rate,Training Time,Validation Time
0,1,0.7065024696863614,0.6773890852928162,0.6894441246986389,-0.040328983685386025,-0.03708687908173358,2e-05,0:00:17,0:00:19
1,2,0.700240046550066,0.8468861579895021,0.7576433420181274,0.0,0.0,2e-05,0:00:17,0:00:19
2,3,0.6812418256050501,0.5895780324935913,0.651557981967926,0.03746565351942487,0.03480692086389248,2e-05,0:00:18,0:00:20
3,4,0.5321626991797717,0.4463194012641907,0.6300803422927856,0.24865114943500344,0.2475789910948413,2e-05,0:00:17,0:00:19
4,5,0.4226861191101564,0.3912389576435089,0.6182000637054443,0.31455006462617235,0.31426103854042964,2e-05,0:00:17,0:00:19
5,6,0.36574730506310094,0.4791393578052521,0.5483039617538452,0.4035766862066246,0.3662659871141456,2e-05,0:00:17,0:00:19
6,7,0.2108467263288987,0.391673743724823,0.7141083478927612,0.3864572963355308,0.3864332480962149,2e-05,0:00:17,0:00:19
7,8,0.22900171568378425,0.5729749202728271,0.7419851422309875,0.3604037143464465,0.34134513123750376,2e-05,0:00:17,0:00:19
8,9,0.10790070303930686,0.7742970585823059,0.9793485403060912,0.392201127246245,0.3706005453738347,2e-05,0:00:17,0:00:19
9,10,0.1175295289677496,0.8685969114303589,0.9568226933479308,0.44704756862287626,0.4035297921302372,2e-05,0:00:17,0:00:19
0,1,0.7023271123568217,0.7192215323448181,0.7022463083267212,-0.0005650754032374903,-0.0002408343985624839,2.9999999999999997e-05,0:00:17,0:00:19
1,2,0.6477684057675875,0.4866901338100433,0.5649528503417969,0.2924280859042638,0.2806699664132932,2.9999999999999997e-05,0:00:17,0:00:19
2,3,0.4051909454357929,0.4028947055339813,0.4684090614318848,0.4160218683156252,0.39032084007803103,2.9999999999999997e-05,0:00:17,0:00:19
3,4,0.2381030695560651,0.4155591726303101,0.693556010723114,0.41334608899908537,0.4098364786212805,2.9999999999999997e-05,0:00:17,0:00:19
4,5,0.10943328109211646,0.6133052110671997,1.022226333618164,0.442254223721706,0.43486862740367216,2.9999999999999997e-05,0:00:18,0:00:19
5,6,0.10386012942315294,0.8390288949012756,0.907068133354187,0.3935551892092844,0.3542762038052729,2.9999999999999997e-05,0:00:17,0:00:19
6,7,0.06259232343365558,1.0258443355560305,1.281590461730957,0.35299628018420953,0.3327731092436975,2.9999999999999997e-05,0:00:18,0:00:20
7,8,0.08347973634059039,0.8345269560813904,1.2687327861785889,0.3746306844253635,0.36718768586586736,2.9999999999999997e-05,0:00:17,0:00:18
8,9,0.0608797097662225,0.8066006302833557,1.329992651939392,0.4031399775348501,0.3987088764742396,2.9999999999999997e-05,0:00:17,0:00:19
9,10,0.0032534479262092365,1.0523024797439575,1.529543399810791,0.3993704452999751,0.3894015659955257,2.9999999999999997e-05,0:00:17,0:00:18
0,1,0.6619815864624121,0.5695569515228271,0.5563710927963257,0.3288038224011325,0.2624701984704463,5e-05,0:00:18,0:00:20
1,2,0.4386878877114027,0.6173705458641052,0.5476796627044678,0.4007373769643048,0.3178275544645597,5e-05,0:00:17,0:00:19
2,3,0.2324858570996768,0.3458640277385712,0.7190742492675781,0.4285345152372661,0.42808574392071,5e-05,0:00:17,0:00:18
3,4,0.16565439854867947,0.665804386138916,0.7088723182678223,0.38737770948722383,0.3607867115051462,5e-05,0:00:17,0:00:18
4,5,0.13369183336647275,1.0012675523757937,0.8654776811599731,0.4406046098171629,0.3664719914452579,5e-05,0:00:17,0:00:19
5,6,0.08597048916495763,0.7106070518493652,1.378154158592224,0.3520306411965311,0.35153300307939483,5e-05,0:00:17,0:00:19
6,7,0.0934404693588686,0.6776366829872131,1.644187331199646,0.3080637648037792,0.2995491080180356,5e-05,0:00:17,0:00:19
7,8,0.0423993341347131,0.9307036399841307,1.6768840551376345,0.3415363577681872,0.3406184914713558,5e-05,0:00:17,0:00:19
8,9,0.015335700062375203,0.972051441669464,1.391590595245361,0.3529476388221074,0.34286633868223826,5e-05,0:00:17,0:00:19
9,10,0.01746332262924765,1.1693456172943115,1.677914023399353,0.3193849487984268,0.3108436523550515,5e-05,0:00:17,0:00:18
