Unnamed: 0,epoch,Training Loss on 1 ordinal,"Valid. Loss on 1 ordinal, real","Valid. Loss on 1 ordinal, weighted",Pearson on 1 ordinal,Kappa on 1 ordinal,Learning Rate,Training Time,Validation Time
0,1,0.7021481813045971,0.6707790493965149,0.6851179003715515,0.06402377573520981,0.06213404973479364,2e-05,0:00:24,0:00:26
1,2,0.5802541986892098,0.7097927927970886,0.5540157556533813,0.3541575992698754,0.2721484811573092,2e-05,0:00:24,0:00:25
2,3,0.3672580266730827,0.5480257272720337,0.5233612656593323,0.4587956472882284,0.42042853851470696,2e-05,0:00:24,0:00:25
3,4,0.2321651429591472,0.6371690630912781,0.5831054449081421,0.4652199576674768,0.4244421055842829,2e-05,0:00:24,0:00:25
4,5,0.1518589250514643,0.605786144733429,1.123363375663757,0.4141156576792228,0.4048776097912167,2e-05,0:00:24,0:00:25
5,6,0.11732276929379032,0.5862083435058594,1.2205103635787964,0.4462216994859986,0.4281947782262768,2e-05,0:00:24,0:00:25
6,7,0.0848327130038422,0.8635934591293335,1.887304782867432,0.3697657189468557,0.3295483347696051,2e-05,0:00:24,0:00:25
7,8,0.10081288369225436,0.8358609080314636,1.8165498971939087,0.4281531680072601,0.403317035758796,2e-05,0:00:24,0:00:25
8,9,0.051017441815418896,0.8577484488487244,1.4219834804534912,0.509597794543049,0.508787546318339,2e-05,0:00:24,0:00:25
9,10,0.04505940377834792,0.9550108313560486,1.4425464868545532,0.4591135518558174,0.4587799572808684,2e-05,0:00:24,0:00:25
0,1,0.6943235826074031,0.6644530296325684,0.6963346600532532,0.0,0.0,2.9999999999999997e-05,0:00:24,0:00:25
1,2,0.6992637462783278,0.6670681238174438,0.695106565952301,0.07346029723098685,0.036255967127923006,2.9999999999999997e-05,0:00:25,0:00:26
2,3,0.7020552189726579,0.6225359439849854,0.7059650421142578,0.0,0.0,2.9999999999999997e-05,0:00:25,0:00:26
3,4,0.7044645035476015,0.6921650171279907,0.693181574344635,0.0,0.0,2.9999999999999997e-05,0:00:24,0:00:26
4,5,0.7098659695240489,0.6757572293281555,0.6944276094436646,0.0,0.0,2.9999999999999997e-05,0:00:24,0:00:25
5,6,0.6994191261759976,0.6881747841835022,0.6934272050857544,-0.026034622714059742,-0.005104613057726359,2.9999999999999997e-05,0:00:25,0:00:27
6,7,0.7047479142222488,0.7410426735877991,0.6941498517990112,0.0,0.0,2.9999999999999997e-05,0:00:24,0:00:26
7,8,0.7011981512370863,0.7636811137199402,0.6964216828346252,0.0,0.0,2.9999999999999997e-05,0:00:24,0:00:26
8,9,0.7033704100993642,0.667664110660553,0.6953136324882507,0.0,0.0,2.9999999999999997e-05,0:00:24,0:00:26
9,10,0.7044127771728917,0.6441808938980103,0.6995782852172852,0.0,0.0,2.9999999999999997e-05,0:00:24,0:00:25
0,1,0.6945171638538963,0.6953839659690857,0.6541615128517151,0.1866948178293316,0.1476994458048717,5e-05,0:00:24,0:00:25
1,2,0.5178558476138533,0.4466803669929504,0.6290907859802246,0.3649265159829659,0.3647423858904222,5e-05,0:00:24,0:00:25
2,3,0.3029143175012187,0.4442639946937561,0.8084158897399902,0.3945160793979006,0.3879988477475681,5e-05,0:00:24,0:00:25
3,4,0.21154251478187608,0.6897521018981934,1.448872685432434,0.3968196369038848,0.3795271157815726,5e-05,0:00:24,0:00:25
4,5,0.1396849970414973,0.6989884376525879,1.228298902511597,0.3860570447487721,0.3844806852465241,5e-05,0:00:24,0:00:25
5,6,0.10880206880290387,0.7482835054397583,1.1474062204360962,0.5091580777114135,0.5068215792760232,5e-05,0:00:24,0:00:25
6,7,0.08743538533075991,0.9467740654945374,1.7762937545776367,0.4295741616105297,0.4224777859026347,5e-05,0:00:24,0:00:26
7,8,0.0921337343446028,1.012156963348389,2.1937096118926998,0.4083585896432449,0.3846706931262584,5e-05,0:00:24,0:00:25
8,9,0.057650017905408475,0.8435199856758118,1.405784249305725,0.4752808392287299,0.4752662626588012,5e-05,0:00:24,0:00:25
9,10,0.04192236140564395,1.0052642822265625,1.8498523235321045,0.4512691695025029,0.4452975890134481,5e-05,0:00:24,0:00:25
