epoch,Training Loss,Valid. Loss,Learning Rate,Weight Decay,Drop out Rate,Pearson,Pearson Some,Kappa,Kappa Some,Pearson (Anger),Pearson some (Anger),Kappa (Anger),Kappa some (Anger),Pearson (Fear),Pearson some (Fear),Kappa (Fear),Kappa some (Fear),Pearson (Joy),Pearson some (Joy),Kappa (Joy),Kappa some (Joy),Pearson (Sadness),Pearson some (Sadness),Kappa (Sadness),Kappa some (Sadness),Training Time,Validation Time
2,1.002870478,1.252138556,2e-05,0.8,0.1,0.42171617,0.34913061799999995,0.403652594,0.291654364,0.462392969,0.303016904,0.453042286,0.25591131300000003,0.273454058,0.157633642,0.24912727399999998,0.128907864,0.522013484,0.536543762,0.490333919,0.450212264,0.42900416700000005,0.39932816600000004,0.422106895,0.331586015,00:03:56,00:04:17
3,0.8035584509999999,1.3834568180000002,2e-05,0.8,0.1,0.415636665,0.329034412,0.394228819,0.272912569,0.47239431600000004,0.250757997,0.45928501200000005,0.227312951,0.278830841,0.161871294,0.249500448,0.138790036,0.482027531,0.545032526,0.445407589,0.413674317,0.42929397,0.358475831,0.422722229,0.31187297,00:03:56,00:04:17
4,0.625573375,1.6123944680000002,2e-05,0.8,0.1,0.423615705,0.34826875700000004,0.403650723,0.302982205,0.46274934799999995,0.24623707399999997,0.443197441,0.232966093,0.264122095,0.210363808,0.234996998,0.18675945100000002,0.511686106,0.566076235,0.48628895,0.454384048,0.45590527200000003,0.37039791200000005,0.45011950100000003,0.33781922700000006,00:03:56,00:04:17
5,0.480429979,1.778095341,2e-05,0.8,0.1,0.457632375,0.34493784,0.436234988,0.298991768,0.502839667,0.22520470399999998,0.488178695,0.211700744,0.344661665,0.20914387,0.306688408,0.19451671,0.503303055,0.5555643370000001,0.474612959,0.43919229,0.479725115,0.38983845100000003,0.47545989,0.35055732700000003,00:03:56,00:04:18
1,1.226787207,1.222965432,2e-05,0.8,0.1,0.389547769,0.322590918,0.365308074,0.248952824,0.459916851,0.258901006,0.44913287700000004,0.21556435699999998,0.267843726,0.189834401,0.243856643,0.14942961,0.33477983,0.428886128,0.288626389,0.284673553,0.49565066799999996,0.412742137,0.47961638700000003,0.346143775,00:03:55,00:04:17
1,1.23976152,1.2228171,2e-05,0.9,0.1,0.323042549,0.280991041,0.302767346,0.17719785899999999,0.412314853,0.306737212,0.405060738,0.209926728,0.241478298,0.143340729,0.23658962100000003,0.093667685,0.14478063300000002,0.284876742,0.090861019,0.11730713699999999,0.493596411,0.38900948,0.478558005,0.287889885,00:03:56,00:04:18
2,1.023619448,1.279093249,2e-05,0.9,0.1,0.44668916,0.35488058200000006,0.417940604,0.27185029899999996,0.521210465,0.302324515,0.513108715,0.254289816,0.391387018,0.306302935,0.357731452,0.251884173,0.379457815,0.46410781799999995,0.314773863,0.293404966,0.49470134200000004,0.346787059,0.486148386,0.28782224300000003,00:03:56,00:04:17
3,0.828798058,1.3764839169999998,2e-05,0.9,0.1,0.43446065899999997,0.324601586,0.411490179,0.276921945,0.504249851,0.313679357,0.486517163,0.290949254,0.305170801,0.14093523,0.273968872,0.124727578,0.44932202200000004,0.467244476,0.41356227,0.35712125,0.479099961,0.37654728,0.471912412,0.3348897,00:03:56,00:04:17
4,0.649795631,1.537669401,2e-05,0.9,0.1,0.433902811,0.34829324799999994,0.40927734600000004,0.281706544,0.47558846,0.252036942,0.46529622,0.22368033399999998,0.30422686,0.22208941100000001,0.276393337,0.18668041800000001,0.469525261,0.528679074,0.417138224,0.37608687,0.486270663,0.390367566,0.478281601,0.34037855200000006,00:03:56,00:04:17
5,0.501324277,1.8374958630000002,2e-05,0.9,0.1,0.447601439,0.348469431,0.415613021,0.32869389,0.43921463,0.273245153,0.40285988899999997,0.260639537,0.337520925,0.165114662,0.27684217699999997,0.157092856,0.537792731,0.515321982,0.531358794,0.48161415,0.47587747,0.440195925,0.45139122299999995,0.415429015,00:03:56,00:04:17
1,1.253640632,1.218576622,2e-05,0.95,0.1,0.335429126,0.266499647,0.313772163,0.172294382,0.43093976100000003,0.23872183,0.41930026200000003,0.162926058,0.26438960699999997,0.142070977,0.254175795,0.098370993,0.145398812,0.290804022,0.096956675,0.128612071,0.500988326,0.394401758,0.484655921,0.29926840600000004,00:03:56,00:04:17
2,1.0306207170000001,1.253575553,2e-05,0.95,0.1,0.41059422,0.302716781,0.392307281,0.23367955199999998,0.5152858229999999,0.263600077,0.510462328,0.218960658,0.296172287,0.207783933,0.279219829,0.161871883,0.392681309,0.42935941200000005,0.34663251799999995,0.30105703100000003,0.438237462,0.310123704,0.43291445100000003,0.252828636,00:03:56,00:04:17
3,0.833453489,1.4385532090000002,2e-05,0.95,0.1,0.391579633,0.300444113,0.367243318,0.259480744,0.410577851,0.260537316,0.396206524,0.225044881,0.310963541,0.167910256,0.264766989,0.149535755,0.40665394899999996,0.422171714,0.38384266,0.351578118,0.43812319299999997,0.351157166,0.424157102,0.311764224,00:03:56,00:04:18
4,0.63678546,1.563803981,2e-05,0.95,0.1,0.44248186799999994,0.329021573,0.42154779700000006,0.282905698,0.530562133,0.347993829,0.51904462,0.319731795,0.34164283700000003,0.166635502,0.302520595,0.15374507199999998,0.432766372,0.485024619,0.40470878,0.37444543,0.464956131,0.31643234,0.45991719200000003,0.28370049199999997,00:03:56,00:04:18
5,0.46608839799999996,2.029021258,2e-05,0.95,0.1,0.399573926,0.32041703,0.360339219,0.29039302300000003,0.450931594,0.254327512,0.40868751600000003,0.24118917899999998,0.349176628,0.17285069600000003,0.27220583600000003,0.161773638,0.393450367,0.507986945,0.38477931200000004,0.43760948,0.404737115,0.34650296700000005,0.37568421399999996,0.320999795,00:03:56,00:04:17
1,1.224951947,1.21375411,2.9999999999999997e-05,0.8,0.1,0.393812868,0.297024454,0.36704628,0.20447808,0.538262539,0.262425439,0.53138217,0.21143875899999998,0.278829156,0.23338936600000001,0.267532732,0.16981132100000002,0.280515523,0.388798055,0.202446612,0.199202817,0.477644255,0.30348495600000003,0.46682360799999995,0.237459421,00:03:56,00:04:17
2,0.9745874459999999,1.285550953,2.9999999999999997e-05,0.8,0.1,0.42102933600000003,0.314705267,0.39219252,0.26467091,0.5269179310000001,0.269251162,0.500454408,0.244631417,0.32468880899999997,0.21856923600000003,0.279042992,0.186718413,0.40958250799999996,0.47010017,0.379349634,0.36789795299999994,0.422928095,0.300900499,0.40992304700000004,0.259435856,00:03:56,00:04:17
3,0.741036329,1.5649790430000001,2.9999999999999997e-05,0.8,0.1,0.414582821,0.333737489,0.364263843,0.293241761,0.477832815,0.268440076,0.424315526,0.24479364399999998,0.371781356,0.26043507,0.2898844,0.228923583,0.379197409,0.468800124,0.35325602100000003,0.3983967,0.429519704,0.337274687,0.389599426,0.300853117,00:03:56,00:04:17
4,0.530119134,1.808183069,2.9999999999999997e-05,0.8,0.1,0.427277962,0.34462177200000005,0.373690432,0.315969028,0.486356578,0.33116540899999997,0.426446086,0.31026268100000004,0.359099396,0.21244874800000002,0.26517057899999996,0.192671167,0.426462401,0.5042867289999999,0.411340472,0.455859261,0.43719347399999997,0.330586204,0.39180459,0.305083005,00:03:56,00:04:17
5,0.39053594,1.930987835,2.9999999999999997e-05,0.8,0.1,0.442648975,0.346365973,0.414630622,0.303062224,0.516333623,0.30609328199999997,0.491436725,0.289437498,0.33609779799999995,0.224095204,0.290566402,0.20504050399999998,0.45863955799999995,0.5040597689999999,0.43013376299999995,0.39599841,0.45952492,0.35121563899999997,0.446385598,0.32177248399999997,00:03:56,00:04:17
1,1.238003856,1.25939014,2.9999999999999997e-05,0.9,0.1,0.393960638,0.301543037,0.36806511700000005,0.242753894,0.39736464200000005,0.22043179899999998,0.38176922,0.18424362800000002,0.286385323,0.13384574,0.252858756,0.11161512,0.394009111,0.454084516,0.35704437899999997,0.33783928399999996,0.49808347700000005,0.397810093,0.480588115,0.337317543,00:03:56,00:04:18
2,1.034780466,1.201331079,2.9999999999999997e-05,0.9,0.1,0.461576699,0.34240517299999995,0.43860437399999996,0.258533732,0.472031424,0.225914791,0.46896223,0.175149182,0.32594713,0.215782167,0.314345998,0.16867469899999998,0.502675151,0.516753264,0.434119628,0.358199165,0.545653089,0.41117047100000004,0.536989641,0.33211188199999997,00:03:56,00:04:17
3,0.8084296609999999,1.2669369879999999,2.9999999999999997e-05,0.9,0.1,0.492632774,0.381861988,0.469934766,0.312871343,0.54660498,0.34244585899999996,0.544204403,0.2974289,0.372195294,0.240919598,0.345451764,0.21039725399999998,0.50100969,0.5330425520000001,0.441526611,0.379587015,0.550721131,0.411039941,0.5485562860000001,0.364072202,00:03:56,00:04:17
4,0.604586398,1.561486274,2.9999999999999997e-05,0.9,0.1,0.42738916200000004,0.311197478,0.40047442299999997,0.280610078,0.42412987399999996,0.20932300399999998,0.401971686,0.19192922,0.325530747,0.209658017,0.271776236,0.19433575600000003,0.491008075,0.502799844,0.4774996,0.436516986,0.46888795299999997,0.323009048,0.450650171,0.29965835,00:03:56,00:04:17
5,0.453729029,1.882042701,2.9999999999999997e-05,0.9,0.1,0.45169255399999997,0.318212132,0.41106444200000003,0.287135063,0.491118321,0.287472706,0.45255528700000003,0.27651917600000003,0.35570099899999996,0.18117472699999998,0.284026147,0.16965871,0.46361475399999996,0.505109394,0.44297689,0.418025346,0.49633614299999995,0.2990917,0.46469944399999996,0.28433701899999997,00:03:56,00:04:17
1,1.239116933,1.382965321,2.9999999999999997e-05,0.95,0.1,0.328506532,0.310830879,0.270687426,0.270874948,0.38605586700000005,0.267166318,0.31913008,0.240427783,0.232345575,0.214099001,0.163665089,0.184643234,0.347104541,0.422563135,0.30869273,0.356759692,0.348520145,0.33949506100000004,0.291261805,0.301669082,00:03:56,00:04:18
2,0.9859752620000001,1.278236435,2.9999999999999997e-05,0.95,0.1,0.417198291,0.33487705100000004,0.39993524,0.267025189,0.51599429,0.346659647,0.512471514,0.302482319,0.306807961,0.22069885600000003,0.290481019,0.184694385,0.411569605,0.436753215,0.363379345,0.307768325,0.43442130799999995,0.335396486,0.433409084,0.273155727,00:03:56,00:04:18
3,0.719702953,1.460641971,2.9999999999999997e-05,0.95,0.1,0.459977154,0.36335734399999997,0.43770914299999997,0.29385453100000003,0.528167634,0.36080466,0.5234512929999999,0.317023558,0.35730821799999996,0.228865873,0.333708748,0.200272712,0.48060302299999996,0.530187612,0.421184898,0.371422375,0.47382973899999997,0.333571233,0.47249163200000005,0.28669948,00:03:56,00:04:17
4,0.510074134,1.5519070830000001,2.9999999999999997e-05,0.95,0.1,0.445434825,0.355966437,0.43528350899999996,0.304341117,0.49422234600000003,0.33632909200000005,0.48968326,0.290923218,0.28587729999999995,0.143139666,0.267770971,0.122352529,0.553011212,0.561123852,0.535646207,0.479471715,0.448628442,0.38327313799999996,0.4480335999999999,0.324617005,00:03:55,00:04:17
5,0.388098979,2.045930028,2.9999999999999997e-05,0.95,0.1,0.437029209,0.348599115,0.40738596200000005,0.328343747,0.46690811299999996,0.32358067100000004,0.42873849,0.30985818800000003,0.278709658,0.14607664199999998,0.229373145,0.139713971,0.5384938229999999,0.57572253,0.5298419679999999,0.529713349,0.464005241,0.349016619,0.441590246,0.334089478,00:03:56,00:04:17
1,1.245468106,1.353249819,5e-05,0.8,0.1,0.361726269,0.295932454,0.315476139,0.236816988,0.44794059,0.262305306,0.40253881799999996,0.219077771,0.306264372,0.264644846,0.23671296600000002,0.214508289,0.22786845600000002,0.318264497,0.206078139,0.228592607,0.46483166,0.338515167,0.41657463100000003,0.285089284,00:03:56,00:04:18
2,1.038463144,1.28811448,5e-05,0.8,0.1,0.406611847,0.317768251,0.367921619,0.282534683,0.418423363,0.257706055,0.382703777,0.250119455,0.30074305100000004,0.177949407,0.244811488,0.171261124,0.462863188,0.527916704,0.43321460700000003,0.41333306700000005,0.444417785,0.307500838,0.410956602,0.295425085,00:03:56,00:04:18
3,0.8085614609999999,1.348565085,5e-05,0.8,0.1,0.469696171,0.35292450700000005,0.445556157,0.296224272,0.477359615,0.235451645,0.46665784899999996,0.20798808100000002,0.39082174399999997,0.275658282,0.354309389,0.24797797300000002,0.497494382,0.52523692,0.456448233,0.39857157,0.513108944,0.375351179,0.5048091579999999,0.330359465,00:03:56,00:04:17
